state,Rice,Jowar,Bajra,Maize,Ragi,Wheat,Barley,Gram,Tur,Groundnut,Mustard,Soyabean,Sunflower,Cotton,Jute,Mesta,Sugarcane
Andhra Pradesh,2921.1855874937,1054.1149543395,906.7340098319,3328.8711368384,1202.7981613606,792.5525092192,0,1139.8722978303,441.48517883,852.638321085,356.25,1450.4636704663,768.4929616909,337.1242004181,0,1507.3287248614,76472.3747227549
Arunachal Pradesh ,1190.4793281983,0,0,1365.5288229447,0,1641.024942951,0,0,1000,0,963.0150077425,1258.4276583861,0,0,0,0,19073.6394557823
Assam,1449,0,0,710,0,1150,0,519,707,0,508,0,0,106,1736,909,37945
Bihar,1300.1509887755,929.1806153356,933.1659699026,2281.5414387768,794.8610106067,1876.4207156258,1124.0015896012,938.5558328905,1183.1943699205,652.7777777778,853.5547233665,0,1365.0178911597,0,1474.7815526526,1344.1499731268,43134.9364051905
Chattisgarh,1177,843,0,1567,263,996,888,728,471,1122,369,857,459,136,0,361,2550
Goa,2652,0,0,0,1000,0,0,0,0,1813,0,0,0,0,0,0,52162
Gujarat,1610,901,1152,1300,868,2451,0,739,796,1161,1341,716,0,373,0,0,74050
Haryana,2894,296,1313,2228,0,3979,2735,725,988,809,1304,0,1598,452,0,0,59987
Himachal Pradesh,1447,0,0,2251,1104,1482,1207,901,0,0,495,1342,0,0,0,0,18013
Jammu & Kashmir,1960,589,571,1535,0,1543,631,0,0,0,635,0,0,0,0,0,0
Jharkhand,1413,988,1253,1465,632,1682,922,886,860,698,558,0,0,0,0,1051,34608
Karnataka,2561.3928711121,845.2644582712,626.1794474531,2654.5940524717,1492.4431905216,736.6375690188,0,506.726437379,489.3978844026,696.5809278821,278.5281022916,683.0272422547,456.3873434569,219.2411891825,0,265.726904218,83235.9678314669
Kerala,2197,490,0,0,1070,0,0,0,0,763,0,0,0,250,0,0,91363
Madhya Pradesh,862,985,1244,1525,351,1630,1228,855,754,992,925,928,453,164,0,382,38932
Maharashtra,1594,812,695,1835,992,1320,637,614,683,1066,317,1175,534,189,0,273,75204
Manipur,2315.2464975953,0,0,2495.1781318873,0,0,0,0,0,0,461.1111111111,0,0,0,0,0,32206.8783068783
Meghalaya,1692,0,0,1452,0,1699,0,0,769,0,648,945,0,172,1430,835,0
Mizoram,1501,0,0,1814,0,0,0,0,0,0,742,1113,0,368,0,0,4076
Nagaland,1556,1246,1269,1609,0,1716,1756,1027,992,1308,842,1282,1197,570,587,0,44758
Orissa,1366.0307873365,608.9922536143,559.4004729371,1412.7419431319,641.3715559887,1445.8998565137,0,627.3451018289,704.1700604368,1111.208182101,205.4543992456,769.2307692308,802.4355750346,327.1654313813,1797.0909767513,796.459999209,60066.417414746
Punjab,3686,0,984,2702,0,4259,3309,892,876,868,1105,0,1602,563,0,0,60279
Rajasthan,1372,439,645,1314,0,2686,2263,652,606,1276,1043,1102,340,282,0,0,51264
Sikkim,1443,0,0,1498,895,1364,1216,0,0,0,696,827,0,0,0,0,0
Tamil Nadu,2889.7492572693,816.9491419027,1217.1206176986,2035.3716740366,1685.4015877601,0,0,671.951548012,633.0694799158,1708.6452404262,0,0,1258.1897230373,281.7724759199,1440,0,101125.55761157
Tripura,2276,0,0,999,0,2329,0,0,744,978,789,0,0,224,1497,1370,47953
Uttarakhand,1943,0,0,1367,1398,1911,1090,926,833,1094,665,1073,0,0,0,0,58457
Uttar Pradesh,1964,965,1357,1427,1313,2634,2075,879,1034,741,1025,612,1530,188,1260,0,57343
West Bengal,2423.5202248428,495.4724197371,0,2474.7107376895,1137.0085483662,2252.303430708,1129.4157574803,871.265297251,794.7450045916,1595.6662429692,875.340431243,583.3333333333,1205.7972082081,367.9161986521,2384.1765714335,1639.4230812381,73929.9949492487
A & N Islands,2838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N Haveli,1717,1200,0,0,1512,1867,0,0,813,0,0,0,0,0,0,0,0
Daman & Diu,1980.8823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2802,890,1756,0,0,3901,1000,0,0,0,700,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2510,0,1000,0,0,0,0,0,0,1806,0,0,0,4167,0,0,85764
 ,,,,,,,,,,,,,,,,,
